n,bs,bls,c,k,a
13,"(4, 4)","(2, 2)","(4, 4)",25,10.8
13,"(4, 4)","(4, 4)","(1, 1)",4,4.9
13,"(4, 4)","(4, 4)","(1, 1)",7,4.5
13,"(4, 4)","(4, 4)","(1, 1)",10,5.1
13,"(4, 4)","(4, 4)","(1, 1)",14,5.1
13,"(4, 4)","(4, 4)","(1, 1)",18,5.6
13,"(4, 4)","(4, 4)","(1, 1)",25,5.8
13,"(4, 4)","(4, 4)","(2, 2)",4,9.3
13,"(4, 4)","(4, 4)","(2, 2)",7,9.7
13,"(4, 4)","(4, 4)","(2, 2)",10,11.1
13,"(4, 4)","(4, 4)","(2, 2)",14,9.9
13,"(4, 4)","(4, 4)","(2, 2)",18,9.8
13,"(4, 4)","(4, 4)","(2, 2)",25,9.6
13,"(4, 4)","(4, 4)","(4, 4)",4,8.5
13,"(4, 4)","(4, 4)","(4, 4)",7,9.0
13,"(4, 4)","(4, 4)","(4, 4)",10,9.3
13,"(4, 4)","(4, 4)","(4, 4)",14,9.3
13,"(4, 4)","(4, 4)","(4, 4)",18,9.2
13,"(4, 4)","(4, 4)","(4, 4)",25,8.7
13,"(8, 8)","(1, 1)","(1, 1)",4,10.7
13,"(8, 8)","(1, 1)","(1, 1)",7,10.0
13,"(8, 8)","(1, 1)","(1, 1)",10,9.3
13,"(8, 8)","(1, 1)","(1, 1)",7,10.0
13,"(8, 8)","(1, 1)","(1, 1)",25,9.3
13,"(8, 8)","(1, 1)","(1, 1)",18,9.0
13,"(8, 8)","(1, 1)","(1, 1)",10,10.0
13,"(8, 8)","(1, 1)","(1, 1)",4,10.7
13,"(8, 8)","(1, 1)","(2, 2)",7,13.4
13,"(8, 8)","(1, 1)","(2, 2)",4,13.0
13,"(8, 8)","(1, 1)","(2, 2)",25,14.4
13,"(8, 8)","(1, 1)","(2, 2)",14,13.4
13,"(8, 8)","(1, 1)","(2, 2)",10,13.6
13,"(8, 8)","(1, 1)","(2, 2)",18,13.9
13,"(8, 8)","(1, 1)","(4, 4)",7,11.9
13,"(8, 8)","(1, 1)","(4, 4)",4,11.4
13,"(8, 8)","(1, 1)","(4, 4)",14,12.9
13,"(8, 8)","(1, 1)","(4, 4)",18,12.9
13,"(8, 8)","(1, 1)","(4, 4)",10,12.0
13,"(8, 8)","(1, 1)","(4, 4)",25,13.1
13,"(8, 8)","(1, 1)","(8, 8)",10,9.0
13,"(8, 8)","(1, 1)","(8, 8)",4,8.5
13,"(8, 8)","(1, 1)","(8, 8)",25,8.5
13,"(8, 8)","(1, 1)","(8, 8)",14,8.6
13,"(8, 8)","(1, 1)","(8, 8)",7,9.9
13,"(8, 8)","(1, 1)","(8, 8)",18,7.9
13,"(8, 8)","(2, 2)","(1, 1)",14,9.2
13,"(8, 8)","(2, 2)","(1, 1)",7,9.2
13,"(8, 8)","(2, 2)","(1, 1)",10,9.8
13,"(8, 8)","(2, 2)","(1, 1)",25,8.5
13,"(8, 8)","(2, 2)","(1, 1)",4,9.5
13,"(8, 8)","(2, 2)","(1, 1)",18,9.1
13,"(8, 8)","(2, 2)","(2, 2)",4,12.5
13,"(8, 8)","(2, 2)","(2, 2)",18,13.9
13,"(8, 8)","(2, 2)","(2, 2)",25,13.8
13,"(8, 8)","(2, 2)","(2, 2)",10,13.2
13,"(8, 8)","(2, 2)","(2, 2)",14,13.3
13,"(8, 8)","(2, 2)","(2, 2)",7,13.4
13,"(8, 8)","(2, 2)","(4, 4)",7,12.2
13,"(8, 8)","(2, 2)","(4, 4)",4,11.8
13,"(8, 8)","(2, 2)","(4, 4)",18,12.4
13,"(8, 8)","(2, 2)","(4, 4)",14,13.1
13,"(8, 8)","(2, 2)","(4, 4)",25,12.3
13,"(8, 8)","(2, 2)","(4, 4)",10,12.7
13,"(8, 8)","(2, 2)","(8, 8)",7,9.0
13,"(8, 8)","(2, 2)","(8, 8)",18,7.5
13,"(8, 8)","(2, 2)","(8, 8)",25,8.1
13,"(8, 8)","(2, 2)","(8, 8)",14,8.5
13,"(8, 8)","(2, 2)","(8, 8)",4,8.5
13,"(8, 8)","(2, 2)","(8, 8)",10,9.0
13,"(8, 8)","(4, 4)","(1, 1)",4,9.2
13,"(8, 8)","(4, 4)","(1, 1)",18,8.6
13,"(8, 8)","(4, 4)","(1, 1)",7,9.7
13,"(8, 8)","(4, 4)","(1, 1)",10,9.4
13,"(8, 8)","(4, 4)","(1, 1)",25,8.7
13,"(8, 8)","(4, 4)","(1, 1)",14,8.8
13,"(8, 8)","(4, 4)","(2, 2)",4,12.6
13,"(8, 8)","(4, 4)","(2, 2)",18,13.9
13,"(8, 8)","(4, 4)","(2, 2)",10,13.6
13,"(8, 8)","(4, 4)","(2, 2)",25,13.1
13,"(8, 8)","(4, 4)","(2, 2)",14,13.6
13,"(8, 8)","(4, 4)","(2, 2)",7,13.5
13,"(8, 8)","(4, 4)","(4, 4)",18,12.0
13,"(8, 8)","(4, 4)","(4, 4)",25,13.2
13,"(8, 8)","(4, 4)","(4, 4)",4,11.9
13,"(8, 8)","(4, 4)","(4, 4)",10,12.5
13,"(8, 8)","(4, 4)","(4, 4)",7,12.5
13,"(8, 8)","(4, 4)","(4, 4)",14,11.8
13,"(8, 8)","(4, 4)","(8, 8)",4,8.3
13,"(8, 8)","(4, 4)","(8, 8)",7,8.4
13,"(8, 8)","(4, 4)","(8, 8)",25,8.5
13,"(8, 8)","(4, 4)","(8, 8)",10,8.6
13,"(8, 8)","(4, 4)","(8, 8)",14,9.1
13,"(8, 8)","(4, 4)","(8, 8)",18,9.3
13,"(8, 8)","(8, 8)","(1, 1)",7,6.7
13,"(8, 8)","(8, 8)","(1, 1)",10,6.6
13,"(8, 8)","(8, 8)","(1, 1)",18,6.8
13,"(8, 8)","(8, 8)","(1, 1)",4,5.8
13,"(8, 8)","(8, 8)","(1, 1)",14,6.3
13,"(8, 8)","(8, 8)","(1, 1)",25,7.3
13,"(8, 8)","(8, 8)","(2, 2)",7,10.5
13,"(8, 8)","(8, 8)","(2, 2)",14,11.4
