n,bs,bls,c,k,a
7,"(2, 2)","(2, 2)","(2, 2)",14,9.4
7,"(2, 2)","(2, 2)","(2, 2)",18,9.9
7,"(2, 2)","(2, 2)","(2, 2)",25,9.0
7,"(4, 4)","(1, 1)","(1, 1)",4,7.9
7,"(4, 4)","(1, 1)","(1, 1)",7,8.6
7,"(4, 4)","(1, 1)","(1, 1)",10,8.8
7,"(4, 4)","(1, 1)","(1, 1)",14,8.7
7,"(4, 4)","(1, 1)","(1, 1)",18,8.5
7,"(4, 4)","(1, 1)","(1, 1)",25,7.7
7,"(4, 4)","(1, 1)","(2, 2)",4,11.2
7,"(4, 4)","(1, 1)","(2, 2)",7,10.8
7,"(4, 4)","(1, 1)","(2, 2)",10,11.6
7,"(4, 4)","(1, 1)","(2, 2)",14,11.3
7,"(4, 4)","(1, 1)","(2, 2)",18,11.4
7,"(4, 4)","(1, 1)","(2, 2)",25,11.9
7,"(4, 4)","(1, 1)","(4, 4)",4,8.5
7,"(4, 4)","(1, 1)","(4, 4)",7,9.1
7,"(4, 4)","(1, 1)","(4, 4)",10,8.2
7,"(4, 4)","(1, 1)","(4, 4)",14,8.1
7,"(4, 4)","(1, 1)","(4, 4)",18,7.5
7,"(4, 4)","(1, 1)","(4, 4)",25,7.1
7,"(4, 4)","(2, 2)","(1, 1)",4,7.9
7,"(4, 4)","(2, 2)","(1, 1)",7,7.5
7,"(4, 4)","(2, 2)","(1, 1)",10,8.6
7,"(4, 4)","(2, 2)","(1, 1)",14,8.5
7,"(4, 4)","(2, 2)","(1, 1)",18,8.0
7,"(4, 4)","(2, 2)","(1, 1)",25,7.3
7,"(4, 4)","(2, 2)","(2, 2)",4,10.9
7,"(4, 4)","(2, 2)","(2, 2)",7,10.5
7,"(4, 4)","(2, 2)","(2, 2)",10,11.2
7,"(4, 4)","(2, 2)","(2, 2)",14,10.9
7,"(4, 4)","(2, 2)","(2, 2)",18,10.7
7,"(4, 4)","(2, 2)","(2, 2)",25,11.0
7,"(4, 4)","(2, 2)","(4, 4)",4,8.8
7,"(4, 4)","(2, 2)","(4, 4)",7,8.9
7,"(4, 4)","(2, 2)","(4, 4)",10,8.3
7,"(4, 4)","(2, 2)","(4, 4)",14,7.6
7,"(4, 4)","(2, 2)","(4, 4)",18,7.7
7,"(4, 4)","(2, 2)","(4, 4)",25,7.1
7,"(4, 4)","(4, 4)","(1, 1)",4,7.5
7,"(4, 4)","(4, 4)","(1, 1)",7,8.1
7,"(4, 4)","(4, 4)","(1, 1)",10,7.8
7,"(4, 4)","(4, 4)","(1, 1)",14,7.7
7,"(4, 4)","(4, 4)","(1, 1)",18,7.4
7,"(4, 4)","(4, 4)","(1, 1)",25,8.0
7,"(4, 4)","(4, 4)","(2, 2)",4,9.3
7,"(4, 4)","(4, 4)","(2, 2)",7,10.0
7,"(4, 4)","(4, 4)","(2, 2)",10,9.8
7,"(4, 4)","(4, 4)","(2, 2)",14,10.0
7,"(4, 4)","(4, 4)","(2, 2)",18,9.3
7,"(4, 4)","(4, 4)","(2, 2)",25,10.4
7,"(4, 4)","(4, 4)","(4, 4)",4,7.6
7,"(4, 4)","(4, 4)","(4, 4)",7,7.6
7,"(4, 4)","(4, 4)","(4, 4)",10,7.6
7,"(4, 4)","(4, 4)","(4, 4)",14,7.3
7,"(4, 4)","(4, 4)","(4, 4)",18,7.4
7,"(4, 4)","(4, 4)","(4, 4)",25,7.6
7,"(8, 8)","(1, 1)","(1, 1)",4,10.1
7,"(8, 8)","(1, 1)","(1, 1)",7,11.0
7,"(8, 8)","(1, 1)","(1, 1)",10,10.9
7,"(8, 8)","(1, 1)","(1, 1)",14,10.3
7,"(8, 8)","(1, 1)","(1, 1)",18,9.8
7,"(8, 8)","(1, 1)","(1, 1)",25,9.6
7,"(8, 8)","(1, 1)","(2, 2)",4,11.8
7,"(8, 8)","(1, 1)","(2, 2)",7,13.0
7,"(8, 8)","(1, 1)","(2, 2)",10,12.4
7,"(8, 8)","(1, 1)","(2, 2)",14,12.3
7,"(8, 8)","(1, 1)","(2, 2)",18,11.9
7,"(8, 8)","(1, 1)","(2, 2)",25,12.2
7,"(8, 8)","(1, 1)","(4, 4)",4,11.2
7,"(8, 8)","(1, 1)","(4, 4)",7,11.6
7,"(8, 8)","(1, 1)","(4, 4)",10,10.5
7,"(8, 8)","(1, 1)","(4, 4)",14,10.6
7,"(8, 8)","(1, 1)","(4, 4)",18,9.4
7,"(8, 8)","(1, 1)","(4, 4)",25,9.7
7,"(8, 8)","(1, 1)","(8, 8)",4,8.0
7,"(8, 8)","(1, 1)","(8, 8)",7,7.9
7,"(8, 8)","(1, 1)","(8, 8)",10,7.5
7,"(8, 8)","(1, 1)","(8, 8)",14,8.0
7,"(8, 8)","(1, 1)","(8, 8)",18,8.9
7,"(8, 8)","(1, 1)","(8, 8)",25,9.0
7,"(8, 8)","(2, 2)","(1, 1)",4,9.6
7,"(8, 8)","(2, 2)","(1, 1)",7,10.4
7,"(8, 8)","(2, 2)","(1, 1)",10,10.3
7,"(8, 8)","(2, 2)","(1, 1)",14,9.9
7,"(8, 8)","(2, 2)","(1, 1)",18,9.5
7,"(8, 8)","(2, 2)","(1, 1)",25,9.8
7,"(8, 8)","(2, 2)","(2, 2)",4,11.9
7,"(8, 8)","(2, 2)","(2, 2)",7,12.9
7,"(8, 8)","(2, 2)","(2, 2)",10,12.2
7,"(8, 8)","(2, 2)","(2, 2)",14,12.6
7,"(8, 8)","(2, 2)","(2, 2)",18,12.4
7,"(8, 8)","(2, 2)","(2, 2)",25,12.2
7,"(8, 8)","(2, 2)","(4, 4)",4,11.4
7,"(8, 8)","(2, 2)","(4, 4)",7,11.7
7,"(8, 8)","(2, 2)","(4, 4)",10,11.2
7,"(8, 8)","(2, 2)","(4, 4)",14,10.6
7,"(8, 8)","(2, 2)","(4, 4)",18,10.4
7,"(8, 8)","(2, 2)","(4, 4)",25,9.8
7,"(8, 8)","(2, 2)","(8, 8)",4,8.2
7,"(8, 8)","(2, 2)","(8, 8)",7,7.2
7,"(8, 8)","(2, 2)","(8, 8)",10,7.4
7,"(8, 8)","(2, 2)","(8, 8)",14,8.4
7,"(8, 8)","(2, 2)","(8, 8)",18,8.4
7,"(8, 8)","(2, 2)","(8, 8)",25,8.7
7,"(8, 8)","(4, 4)","(1, 1)",4,9.4
7,"(8, 8)","(4, 4)","(1, 1)",7,9.4
7,"(8, 8)","(4, 4)","(1, 1)",10,9.4
7,"(8, 8)","(4, 4)","(1, 1)",14,9.6
7,"(8, 8)","(4, 4)","(1, 1)",18,8.8
7,"(8, 8)","(4, 4)","(1, 1)",25,9.2
7,"(8, 8)","(4, 4)","(2, 2)",4,12.9
7,"(8, 8)","(4, 4)","(2, 2)",7,13.0
7,"(8, 8)","(4, 4)","(2, 2)",10,12.9
7,"(8, 8)","(4, 4)","(2, 2)",14,12.9
7,"(8, 8)","(4, 4)","(2, 2)",18,13.4
7,"(8, 8)","(4, 4)","(2, 2)",25,12.4
7,"(8, 8)","(4, 4)","(4, 4)",4,9.7
7,"(8, 8)","(4, 4)","(4, 4)",7,10.4
7,"(8, 8)","(4, 4)","(4, 4)",10,10.7
7,"(8, 8)","(4, 4)","(4, 4)",14,10.8
7,"(8, 8)","(4, 4)","(4, 4)",18,10.5
7,"(8, 8)","(4, 4)","(4, 4)",25,9.6
7,"(8, 8)","(4, 4)","(8, 8)",4,8.7
7,"(8, 8)","(4, 4)","(8, 8)",7,8.1
7,"(8, 8)","(4, 4)","(8, 8)",10,8.5
7,"(8, 8)","(4, 4)","(8, 8)",14,9.0
7,"(8, 8)","(4, 4)","(8, 8)",18,8.7
7,"(8, 8)","(4, 4)","(8, 8)",25,9.6
7,"(8, 8)","(8, 8)","(1, 1)",4,8.2
7,"(8, 8)","(8, 8)","(1, 1)",7,8.5
7,"(8, 8)","(8, 8)","(1, 1)",10,7.7
7,"(8, 8)","(8, 8)","(1, 1)",14,7.8
7,"(8, 8)","(8, 8)","(1, 1)",18,6.9
7,"(8, 8)","(8, 8)","(1, 1)",25,6.9
7,"(8, 8)","(8, 8)","(2, 2)",4,10.1
7,"(8, 8)","(8, 8)","(2, 2)",7,10.9
7,"(8, 8)","(8, 8)","(2, 2)",10,10.4
7,"(8, 8)","(8, 8)","(2, 2)",14,10.0
7,"(8, 8)","(8, 8)","(2, 2)",18,10.5
7,"(8, 8)","(8, 8)","(2, 2)",25,10.6
7,"(8, 8)","(8, 8)","(4, 4)",4,7.9
7,"(8, 8)","(8, 8)","(4, 4)",7,8.1
7,"(8, 8)","(8, 8)","(4, 4)",10,9.3
7,"(8, 8)","(8, 8)","(4, 4)",14,9.9
7,"(8, 8)","(8, 8)","(4, 4)",18,9.1
7,"(8, 8)","(8, 8)","(4, 4)",25,9.1
7,"(8, 8)","(8, 8)","(8, 8)",4,5.5
7,"(8, 8)","(8, 8)","(8, 8)",7,5.6
7,"(8, 8)","(8, 8)","(8, 8)",10,6.7
7,"(8, 8)","(8, 8)","(8, 8)",14,6.2
7,"(8, 8)","(8, 8)","(8, 8)",18,5.8
7,"(8, 8)","(8, 8)","(8, 8)",25,5.7
9,"(2, 2)","(1, 1)","(1, 1)",4,4.7
9,"(2, 2)","(1, 1)","(1, 1)",7,5.2
9,"(2, 2)","(1, 1)","(1, 1)",10,5.4
9,"(2, 2)","(1, 1)","(1, 1)",14,5.4
9,"(2, 2)","(1, 1)","(1, 1)",18,5.9
9,"(2, 2)","(1, 1)","(1, 1)",25,6.2
9,"(2, 2)","(1, 1)","(2, 2)",4,10.4
9,"(2, 2)","(1, 1)","(2, 2)",7,11.0
9,"(2, 2)","(1, 1)","(2, 2)",10,10.7
9,"(2, 2)","(1, 1)","(2, 2)",14,11.0
9,"(2, 2)","(1, 1)","(2, 2)",18,10.9
9,"(2, 2)","(1, 1)","(2, 2)",25,11.6
9,"(2, 2)","(2, 2)","(1, 1)",4,4.3
9,"(2, 2)","(2, 2)","(1, 1)",7,5.3
9,"(2, 2)","(2, 2)","(1, 1)",10,5.2
9,"(2, 2)","(2, 2)","(1, 1)",14,5.7
9,"(2, 2)","(2, 2)","(1, 1)",18,5.7
9,"(2, 2)","(2, 2)","(1, 1)",25,6.3
9,"(2, 2)","(2, 2)","(2, 2)",4,8.5
9,"(2, 2)","(2, 2)","(2, 2)",7,9.0
9,"(2, 2)","(2, 2)","(2, 2)",10,9.0
9,"(2, 2)","(2, 2)","(2, 2)",14,9.5
9,"(2, 2)","(2, 2)","(2, 2)",18,10.0
9,"(2, 2)","(2, 2)","(2, 2)",25,10.1
9,"(4, 4)","(1, 1)","(1, 1)",4,7.0
9,"(4, 4)","(1, 1)","(1, 1)",7,7.1
9,"(4, 4)","(1, 1)","(1, 1)",10,8.0
9,"(4, 4)","(1, 1)","(1, 1)",14,7.8
9,"(4, 4)","(1, 1)","(1, 1)",18,7.6
9,"(4, 4)","(1, 1)","(1, 1)",25,7.5
9,"(4, 4)","(1, 1)","(2, 2)",4,12.3
9,"(4, 4)","(1, 1)","(2, 2)",7,12.7
9,"(4, 4)","(1, 1)","(2, 2)",10,12.5
9,"(4, 4)","(1, 1)","(2, 2)",14,12.7
9,"(4, 4)","(1, 1)","(2, 2)",18,12.2
9,"(4, 4)","(1, 1)","(2, 2)",25,12.5
9,"(4, 4)","(1, 1)","(4, 4)",4,9.3
9,"(4, 4)","(1, 1)","(4, 4)",7,9.6
9,"(4, 4)","(1, 1)","(4, 4)",10,9.5
9,"(4, 4)","(1, 1)","(4, 4)",14,8.5
9,"(4, 4)","(1, 1)","(4, 4)",18,8.4
9,"(4, 4)","(1, 1)","(4, 4)",25,8.8
9,"(4, 4)","(2, 2)","(1, 1)",4,6.6
9,"(4, 4)","(2, 2)","(1, 1)",7,6.3
9,"(4, 4)","(2, 2)","(1, 1)",10,6.9
9,"(4, 4)","(2, 2)","(1, 1)",14,7.9
9,"(4, 4)","(2, 2)","(1, 1)",18,7.8
9,"(4, 4)","(2, 2)","(1, 1)",25,7.6
9,"(4, 4)","(2, 2)","(2, 2)",4,11.2
9,"(4, 4)","(2, 2)","(2, 2)",7,11.5
9,"(4, 4)","(2, 2)","(2, 2)",10,11.7
9,"(4, 4)","(2, 2)","(2, 2)",14,12.9
9,"(4, 4)","(2, 2)","(2, 2)",18,12.6
9,"(4, 4)","(2, 2)","(2, 2)",25,11.9
9,"(4, 4)","(2, 2)","(4, 4)",4,9.2
9,"(4, 4)","(2, 2)","(4, 4)",7,9.7
9,"(4, 4)","(2, 2)","(4, 4)",10,9.0
9,"(4, 4)","(2, 2)","(4, 4)",14,9.0
9,"(4, 4)","(2, 2)","(4, 4)",18,8.9
9,"(4, 4)","(2, 2)","(4, 4)",25,8.5
9,"(4, 4)","(4, 4)","(1, 1)",4,6.2
9,"(4, 4)","(4, 4)","(1, 1)",7,6.4
9,"(4, 4)","(4, 4)","(1, 1)",10,6.5
9,"(4, 4)","(4, 4)","(1, 1)",14,6.6
9,"(4, 4)","(4, 4)","(1, 1)",18,6.7
9,"(4, 4)","(4, 4)","(1, 1)",25,6.9
9,"(4, 4)","(4, 4)","(2, 2)",4,9.1
9,"(4, 4)","(4, 4)","(2, 2)",7,10.2
9,"(4, 4)","(4, 4)","(2, 2)",10,11.0
9,"(4, 4)","(4, 4)","(2, 2)",14,10.7
9,"(4, 4)","(4, 4)","(2, 2)",18,10.0
9,"(4, 4)","(4, 4)","(2, 2)",25,10.1
9,"(4, 4)","(4, 4)","(4, 4)",4,7.4
9,"(4, 4)","(4, 4)","(4, 4)",7,7.4
9,"(4, 4)","(4, 4)","(4, 4)",10,7.8
9,"(4, 4)","(4, 4)","(4, 4)",14,7.1
9,"(4, 4)","(4, 4)","(4, 4)",18,7.7
9,"(4, 4)","(4, 4)","(4, 4)",25,7.8
9,"(8, 8)","(1, 1)","(1, 1)",4,10.3
9,"(8, 8)","(1, 1)","(1, 1)",7,11.0
9,"(8, 8)","(1, 1)","(1, 1)",10,10.6
9,"(8, 8)","(1, 1)","(1, 1)",14,10.0
9,"(8, 8)","(1, 1)","(1, 1)",18,9.7
9,"(8, 8)","(1, 1)","(1, 1)",25,9.6
9,"(8, 8)","(1, 1)","(2, 2)",4,12.5
9,"(8, 8)","(1, 1)","(2, 2)",7,12.6
9,"(8, 8)","(1, 1)","(2, 2)",10,12.4
9,"(8, 8)","(1, 1)","(2, 2)",14,12.8
9,"(8, 8)","(1, 1)","(2, 2)",18,12.8
9,"(8, 8)","(1, 1)","(2, 2)",25,12.6
9,"(8, 8)","(1, 1)","(4, 4)",4,10.7
9,"(8, 8)","(1, 1)","(4, 4)",7,10.6
9,"(8, 8)","(1, 1)","(4, 4)",10,11.3
9,"(8, 8)","(1, 1)","(4, 4)",14,11.5
9,"(8, 8)","(1, 1)","(4, 4)",18,11.3
9,"(8, 8)","(1, 1)","(4, 4)",25,11.2
9,"(8, 8)","(1, 1)","(8, 8)",4,8.6
9,"(8, 8)","(1, 1)","(8, 8)",7,8.5
9,"(8, 8)","(1, 1)","(8, 8)",10,8.3
9,"(8, 8)","(1, 1)","(8, 8)",14,8.1
9,"(8, 8)","(1, 1)","(8, 8)",18,7.7
9,"(8, 8)","(1, 1)","(8, 8)",25,8.3
9,"(8, 8)","(2, 2)","(1, 1)",4,10.1
9,"(8, 8)","(2, 2)","(1, 1)",7,10.4
9,"(8, 8)","(2, 2)","(1, 1)",10,10.0
9,"(8, 8)","(2, 2)","(1, 1)",14,10.1
9,"(8, 8)","(2, 2)","(1, 1)",18,10.0
9,"(8, 8)","(2, 2)","(1, 1)",25,9.2
9,"(8, 8)","(2, 2)","(2, 2)",4,13.2
9,"(8, 8)","(2, 2)","(2, 2)",7,13.3
9,"(8, 8)","(2, 2)","(2, 2)",10,12.8
9,"(8, 8)","(2, 2)","(2, 2)",14,12.7
9,"(8, 8)","(2, 2)","(2, 2)",18,13.2
9,"(8, 8)","(2, 2)","(2, 2)",25,13.5
9,"(8, 8)","(2, 2)","(4, 4)",4,11.1
9,"(8, 8)","(2, 2)","(4, 4)",7,11.4
9,"(8, 8)","(2, 2)","(4, 4)",10,11.4
9,"(8, 8)","(2, 2)","(4, 4)",14,12.0
9,"(8, 8)","(2, 2)","(4, 4)",18,12.1
9,"(8, 8)","(2, 2)","(4, 4)",25,11.4
9,"(8, 8)","(2, 2)","(8, 8)",4,7.8
9,"(8, 8)","(2, 2)","(8, 8)",7,8.0
9,"(8, 8)","(2, 2)","(8, 8)",10,8.2
9,"(8, 8)","(2, 2)","(8, 8)",14,8.1
9,"(8, 8)","(2, 2)","(8, 8)",18,7.8
9,"(8, 8)","(2, 2)","(8, 8)",25,8.0
9,"(8, 8)","(4, 4)","(1, 1)",4,9.8
9,"(8, 8)","(4, 4)","(1, 1)",7,9.4
9,"(8, 8)","(4, 4)","(1, 1)",10,9.4
9,"(8, 8)","(4, 4)","(1, 1)",14,9.5
9,"(8, 8)","(4, 4)","(1, 1)",18,9.2
9,"(8, 8)","(4, 4)","(1, 1)",25,8.5
9,"(8, 8)","(4, 4)","(2, 2)",4,13.1
9,"(8, 8)","(4, 4)","(2, 2)",7,13.6
9,"(8, 8)","(4, 4)","(2, 2)",10,14.0
9,"(8, 8)","(4, 4)","(2, 2)",14,13.9
9,"(8, 8)","(4, 4)","(2, 2)",18,14.1
9,"(8, 8)","(4, 4)","(2, 2)",25,13.4
9,"(8, 8)","(4, 4)","(4, 4)",4,10.4
9,"(8, 8)","(4, 4)","(4, 4)",7,11.3
9,"(8, 8)","(4, 4)","(4, 4)",10,11.0
9,"(8, 8)","(4, 4)","(4, 4)",14,11.2
9,"(8, 8)","(4, 4)","(4, 4)",18,10.9
9,"(8, 8)","(4, 4)","(4, 4)",25,10.6
9,"(8, 8)","(4, 4)","(8, 8)",4,8.0
9,"(8, 8)","(4, 4)","(8, 8)",7,8.0
9,"(8, 8)","(4, 4)","(8, 8)",10,8.3
9,"(8, 8)","(4, 4)","(8, 8)",14,8.6
9,"(8, 8)","(4, 4)","(8, 8)",18,8.5
9,"(8, 8)","(4, 4)","(8, 8)",25,7.9
9,"(8, 8)","(8, 8)","(1, 1)",4,8.0
9,"(8, 8)","(8, 8)","(1, 1)",7,8.0
9,"(8, 8)","(8, 8)","(1, 1)",10,8.1
9,"(8, 8)","(8, 8)","(1, 1)",14,7.3
9,"(8, 8)","(8, 8)","(1, 1)",18,7.3
9,"(8, 8)","(8, 8)","(1, 1)",25,7.3
9,"(8, 8)","(8, 8)","(2, 2)",4,10.1
9,"(8, 8)","(8, 8)","(2, 2)",7,10.4
9,"(8, 8)","(8, 8)","(2, 2)",10,10.7
9,"(8, 8)","(8, 8)","(2, 2)",14,11.6
9,"(8, 8)","(8, 8)","(2, 2)",18,11.0
9,"(8, 8)","(8, 8)","(2, 2)",25,10.6
9,"(8, 8)","(8, 8)","(4, 4)",4,9.0
9,"(8, 8)","(8, 8)","(4, 4)",7,8.9
9,"(8, 8)","(8, 8)","(4, 4)",10,9.4
9,"(8, 8)","(8, 8)","(4, 4)",14,10.2
9,"(8, 8)","(8, 8)","(4, 4)",18,10.2
9,"(8, 8)","(8, 8)","(4, 4)",25,10.0
9,"(8, 8)","(8, 8)","(8, 8)",4,5.6
9,"(8, 8)","(8, 8)","(8, 8)",7,6.3
9,"(8, 8)","(8, 8)","(8, 8)",10,6.6
9,"(8, 8)","(8, 8)","(8, 8)",14,5.8
9,"(8, 8)","(8, 8)","(8, 8)",18,6.0
9,"(8, 8)","(8, 8)","(8, 8)",25,6.4
11,"(2, 2)","(1, 1)","(1, 1)",4,3.7
11,"(2, 2)","(1, 1)","(1, 1)",7,4.1
11,"(2, 2)","(1, 1)","(1, 1)",10,4.1
11,"(2, 2)","(1, 1)","(1, 1)",14,4.7
11,"(2, 2)","(1, 1)","(1, 1)",18,5.3
11,"(2, 2)","(1, 1)","(1, 1)",25,5.2
11,"(2, 2)","(1, 1)","(2, 2)",4,8.3
11,"(2, 2)","(1, 1)","(2, 2)",7,9.5
11,"(2, 2)","(1, 1)","(2, 2)",10,10.0
11,"(2, 2)","(1, 1)","(2, 2)",14,9.3
11,"(2, 2)","(1, 1)","(2, 2)",18,9.6
11,"(2, 2)","(1, 1)","(2, 2)",25,9.9
11,"(2, 2)","(2, 2)","(1, 1)",4,3.5
11,"(2, 2)","(2, 2)","(1, 1)",7,4.2
11,"(2, 2)","(2, 2)","(1, 1)",10,4.4
11,"(2, 2)","(2, 2)","(1, 1)",14,4.7
11,"(2, 2)","(2, 2)","(1, 1)",18,4.9
11,"(2, 2)","(2, 2)","(1, 1)",25,5.2
11,"(2, 2)","(2, 2)","(2, 2)",4,7.8
11,"(2, 2)","(2, 2)","(2, 2)",7,8.2
11,"(2, 2)","(2, 2)","(2, 2)",10,8.4
11,"(2, 2)","(2, 2)","(2, 2)",14,8.9
11,"(2, 2)","(2, 2)","(2, 2)",18,10.2
11,"(2, 2)","(2, 2)","(2, 2)",25,9.8
11,"(4, 4)","(1, 1)","(1, 1)",4,6.1
11,"(4, 4)","(1, 1)","(1, 1)",7,6.5
11,"(4, 4)","(1, 1)","(1, 1)",10,6.4
11,"(4, 4)","(1, 1)","(1, 1)",14,7.3
11,"(4, 4)","(1, 1)","(1, 1)",18,7.4
11,"(4, 4)","(1, 1)","(1, 1)",25,7.3
11,"(4, 4)","(1, 1)","(2, 2)",4,11.4
11,"(4, 4)","(1, 1)","(2, 2)",7,12.2
11,"(4, 4)","(1, 1)","(2, 2)",10,12.7
11,"(4, 4)","(1, 1)","(2, 2)",14,11.9
11,"(4, 4)","(1, 1)","(2, 2)",18,12.9
11,"(4, 4)","(1, 1)","(2, 2)",25,13.5
11,"(4, 4)","(1, 1)","(4, 4)",4,9.6
11,"(4, 4)","(1, 1)","(4, 4)",7,9.9
11,"(4, 4)","(1, 1)","(4, 4)",10,9.8
11,"(4, 4)","(1, 1)","(4, 4)",14,9.9
11,"(4, 4)","(1, 1)","(4, 4)",18,10.1
11,"(4, 4)","(1, 1)","(4, 4)",25,9.9
11,"(4, 4)","(2, 2)","(1, 1)",4,5.5
11,"(4, 4)","(2, 2)","(1, 1)",7,6.1
11,"(4, 4)","(2, 2)","(1, 1)",10,6.2
11,"(4, 4)","(2, 2)","(1, 1)",14,7.0
11,"(4, 4)","(2, 2)","(1, 1)",18,7.2
11,"(4, 4)","(2, 2)","(1, 1)",25,7.4
11,"(4, 4)","(2, 2)","(2, 2)",4,12.0
11,"(4, 4)","(2, 2)","(2, 2)",7,12.4
11,"(4, 4)","(2, 2)","(2, 2)",10,12.4
11,"(4, 4)","(2, 2)","(2, 2)",14,12.5
11,"(4, 4)","(2, 2)","(2, 2)",18,12.2
11,"(4, 4)","(2, 2)","(2, 2)",25,13.4
11,"(4, 4)","(2, 2)","(4, 4)",4,9.5
11,"(4, 4)","(2, 2)","(4, 4)",7,9.8
11,"(4, 4)","(2, 2)","(4, 4)",10,9.8
11,"(4, 4)","(2, 2)","(4, 4)",14,9.8
11,"(4, 4)","(2, 2)","(4, 4)",18,9.6
11,"(4, 4)","(2, 2)","(4, 4)",25,9.5
11,"(4, 4)","(4, 4)","(1, 1)",4,5.3
11,"(4, 4)","(4, 4)","(1, 1)",7,5.9
11,"(4, 4)","(4, 4)","(1, 1)",10,5.9
11,"(4, 4)","(4, 4)","(1, 1)",14,6.4
11,"(4, 4)","(4, 4)","(1, 1)",18,6.0
11,"(4, 4)","(4, 4)","(1, 1)",25,7.1
11,"(4, 4)","(4, 4)","(2, 2)",4,9.0
11,"(4, 4)","(4, 4)","(2, 2)",7,10.3
11,"(4, 4)","(4, 4)","(2, 2)",10,10.1
11,"(4, 4)","(4, 4)","(2, 2)",14,10.3
11,"(4, 4)","(4, 4)","(2, 2)",18,10.9
11,"(4, 4)","(4, 4)","(2, 2)",25,10.9
11,"(4, 4)","(4, 4)","(4, 4)",4,8.5
11,"(4, 4)","(4, 4)","(4, 4)",7,7.9
11,"(4, 4)","(4, 4)","(4, 4)",10,8.6
11,"(4, 4)","(4, 4)","(4, 4)",14,8.6
11,"(4, 4)","(4, 4)","(4, 4)",18,9.1
11,"(4, 4)","(4, 4)","(4, 4)",25,9.4
11,"(8, 8)","(1, 1)","(1, 1)",4,10.4
11,"(8, 8)","(1, 1)","(1, 1)",7,10.5
11,"(8, 8)","(1, 1)","(1, 1)",10,9.9
11,"(8, 8)","(1, 1)","(1, 1)",14,9.6
11,"(8, 8)","(1, 1)","(1, 1)",18,9.5
11,"(8, 8)","(1, 1)","(1, 1)",25,9.0
11,"(8, 8)","(1, 1)","(2, 2)",4,12.0
11,"(8, 8)","(1, 1)","(2, 2)",7,12.6
11,"(8, 8)","(1, 1)","(2, 2)",10,12.3
11,"(8, 8)","(1, 1)","(2, 2)",14,12.5
11,"(8, 8)","(1, 1)","(2, 2)",18,12.8
11,"(8, 8)","(1, 1)","(2, 2)",25,13.3
11,"(8, 8)","(1, 1)","(4, 4)",4,10.4
11,"(8, 8)","(1, 1)","(4, 4)",7,11.2
11,"(8, 8)","(1, 1)","(4, 4)",10,11.8
11,"(8, 8)","(1, 1)","(4, 4)",14,12.4
11,"(8, 8)","(1, 1)","(4, 4)",18,12.3
11,"(8, 8)","(1, 1)","(4, 4)",25,11.5
11,"(8, 8)","(1, 1)","(8, 8)",4,8.9
11,"(8, 8)","(1, 1)","(8, 8)",7,8.7
11,"(8, 8)","(1, 1)","(8, 8)",10,8.4
11,"(8, 8)","(1, 1)","(8, 8)",14,8.7
11,"(8, 8)","(1, 1)","(8, 8)",18,8.3
11,"(8, 8)","(1, 1)","(8, 8)",25,8.1
11,"(8, 8)","(2, 2)","(1, 1)",4,10.6
11,"(8, 8)","(2, 2)","(1, 1)",7,10.2
11,"(8, 8)","(2, 2)","(1, 1)",10,9.4
11,"(8, 8)","(2, 2)","(1, 1)",14,9.7
11,"(8, 8)","(2, 2)","(1, 1)",18,9.3
11,"(8, 8)","(2, 2)","(1, 1)",25,9.2
11,"(8, 8)","(2, 2)","(2, 2)",4,12.8
11,"(8, 8)","(2, 2)","(2, 2)",7,13.4
11,"(8, 8)","(2, 2)","(2, 2)",10,12.8
11,"(8, 8)","(2, 2)","(2, 2)",14,13.2
11,"(8, 8)","(2, 2)","(2, 2)",18,13.5
11,"(8, 8)","(2, 2)","(2, 2)",25,13.9
11,"(8, 8)","(2, 2)","(4, 4)",4,11.2
11,"(8, 8)","(2, 2)","(4, 4)",7,11.5
11,"(8, 8)","(2, 2)","(4, 4)",10,12.3
11,"(8, 8)","(2, 2)","(4, 4)",14,12.8
11,"(8, 8)","(2, 2)","(4, 4)",18,13.2
11,"(8, 8)","(2, 2)","(4, 4)",25,11.3
11,"(8, 8)","(2, 2)","(8, 8)",4,8.1
11,"(8, 8)","(2, 2)","(8, 8)",7,8.4
11,"(8, 8)","(2, 2)","(8, 8)",10,8.3
11,"(8, 8)","(2, 2)","(8, 8)",14,8.3
11,"(8, 8)","(2, 2)","(8, 8)",18,7.6
11,"(8, 8)","(2, 2)","(8, 8)",25,8.1
11,"(8, 8)","(4, 4)","(1, 1)",4,10.2
